Czas [ms];Fluorescencja [j.f];Ciśnienie [mmHg]
593440;1742009,00;0,37
593480;1740414,00;0,40
593520;1738892,00;0,30
593560;1735318,00;0,20
593600;1730486,00;0,10
593640;1726901,00;0,20
593680;1724936,00;0,33
593720;1721293,00;0,47
593760;1720042,00;0,47
593800;1718769,00;0,40
593840;1715429,00;0,33
593880;1717115,00;0,33
593920;1715959,00;0,37
593960;1715849,00;0,40
594000;1716193,00;0,33
594040;1715981,00;0,27
594080;1715613,00;0,23
594120;1716747,00;0,20
594160;1718385,00;0,27
594200;1718087,00;0,17
594240;1718633,00;0,13
594280;1716295,00;0,23
594320;1712846,00;0,47
594360;1708845,00;0,60
594400;1705643,00;0,40
594440;1702196,00;0,27
594480;1700042,00;0,13
594520;1699181,00;0,30
594560;1698290,00;0,40
594600;1696823,00;0,53
594640;1697222,00;0,50
594680;1696596,00;0,50
594720;1697441,00;0,57
594760;1697337,00;0,43
594800;1697072,00;0,27
594840;1698164,00;0,13
594880;1698395,00;0,17
594920;1700454,00;0,30
594960;1701007,00;0,47
595000;1702764,00;0,63
595040;1700471,00;0,73
595080;1696403,00;0,63
595120;1691417,00;0,53
595160;1687121,00;0,50
595200;1685054,00;0,50
595240;1681630,00;0,47
595280;1680882,00;0,33
595320;1679226,00;0,27
595360;1678042,00;0,23
595400;1677679,00;0,33
595440;1678022,00;0,40
595480;1678671,00;0,47
595520;1678475,00;0,40
595560;1678544,00;0,40
595600;1677815,00;0,27
595640;1678960,00;0,17
595680;1680603,00;0,07
595720;1680526,00;0,23
595760;1681006,00;0,43
595800;1679522,00;0,63
595840;1675002,00;0,60
595880;1671285,00;0,50
595920;1667075,00;0,37
595960;1663946,00;0,40
596000;1662896,00;0,40
596040;1661284,00;0,43
596080;1659125,00;0,33
596120;1660458,00;0,20
596160;1659514,00;0,17
596200;1660483,00;0,27
596240;1660165,00;0,40
596280;1660366,00;0,43
596320;1661629,00;0,40
596360;1662665,00;0,40
596400;1663231,00;0,47
596440;1664109,00;0,53
596480;1666419,00;0,43
596520;1667122,00;0,27
596560;1665212,00;0,07
596600;1664198,00;0,13
596640;1659717,00;0,20
596680;1656925,00;0,40
596720;1654444,00;0,47
596760;1653429,00;0,43
596800;1654279,00;0,37
596840;1653918,00;0,23
596880;1652567,00;0,20
596920;1653719,00;0,20
596960;1655341,00;0,20
597000;1655550,00;0,20
597040;1657491,00;0,00
597080;1658077,00;-0,10
597120;1660118,00;0,03
597160;1660957,00;0,27
597200;1662486,00;0,37
597240;1664912,00;0,23
597280;1667082,00;0,27
597320;1665769,00;0,37
597360;1663763,00;0,47
597400;1660490,00;0,43
597440;1658112,00;0,43
597480;1654678,00;0,53
597520;1653909,00;0,37
597560;1654561,00;0,23
597600;1653396,00;0,13
597640;1655190,00;0,27
597680;1654007,00;0,40
597720;1655200,00;0,33
597760;1656471,00;0,27
597800;1657493,00;0,23
597840;1658833,00;0,27
597880;1660804,00;0,43
597920;1661878,00;0,43
597960;1663048,00;0,40
598000;1665019,00;0,23
598040;1666111,00;0,33
598080;1666614,00;0,47
598120;1666651,00;0,60
598160;1662898,00;0,60
598200;1659773,00;0,67
598240;1658525,00;0,73
598280;1657263,00;0,80
598320;1657887,00;0,60
598360;1658164,00;0,43
598400;1658027,00;0,27
598440;1658826,00;0,20
598480;1660984,00;0,27
598520;1661135,00;0,33
598560;1663252,00;0,47
598600;1664415,00;0,43
598640;1665648,00;0,40
598680;1668100,00;0,30
598720;1669869,00;0,30
598760;1672174,00;0,30
598800;1673788,00;0,33
598840;1675835,00;0,30
598880;1674339,00;0,17
598920;1673549,00;0,10
598960;1671534,00;0,13
599000;1670728,00;0,17
599040;1670930,00;0,20
599080;1670931,00;0,27
599120;1671646,00;0,37
599160;1673062,00;0,37
599200;1674141,00;0,20
599240;1675936,00;0,13
599280;1678471,00;0,23
599320;1679764,00;0,40
599360;1682056,00;0,53
599400;1683894,00;0,60
599440;1685854,00;0,43
599480;1689172,00;0,27
599520;1690755,00;0,13
599560;1693567,00;0,10
599600;1695405,00;0,07
599640;1696187,00;0,17
599680;1694928,00;0,33
599720;1693442,00;0,37
599760;1692374,00;0,33
599800;1692204,00;0,30
599840;1692469,00;0,50
599880;1694240,00;0,47
599920;1694982,00;0,43
599960;1696604,00;0,33
600000;1697474,00;0,27
600040;1699429,00;0,20
600080;1702056,00;0,23
600120;1704043,00;0,33
600160;1705231,00;0,40
600200;1706963,00;0,33
600240;1709506,00;0,43
600280;1710666,00;0,57
600320;1712960,00;0,57
600360;1714278,00;0,40
600400;1715381,00;0,23
600440;1716387,00;0,20
600480;1715071,00;0,33
600520;1713877,00;0,47
600560;1714155,00;0,60
600600;1714620,00;0,67
600640;1715206,00;0,60
600680;1717112,00;0,47
600720;1716399,00;0,27
600760;1718530,00;0,20
600800;1720410,00;0,13
600840;1721890,00;0,10
600880;1723316,00;0,20
600920;1725634,00;0,30
600960;1726707,00;0,33
601000;1729786,00;0,37
601040;1733568,00;0,37
601080;1734020,00;0,30
601120;1736286,00;0,10
601160;1738904,00;0,03
601200;1738841,00;0,23
601240;1738696,00;0,43
601280;1737559,00;0,53
601320;1739108,00;0,47
601360;1739171,00;0,33
601400;1739972,00;0,33
601440;1741480,00;0,37
601480;1744194,00;0,50
601520;1744355,00;0,57
601560;1746888,00;0,43
601600;1748073,00;0,23
601640;1751139,00;0,23
601680;1752186,00;0,40
601720;1754255,00;0,47
601760;1756305,00;0,43
601800;1758830,00;0,40
601840;1760946,00;0,37
601880;1762201,00;0,20
601920;1764431,00;0,03
601960;1766223,00;0,17
602000;1766788,00;0,43
602040;1766527,00;0,63
602080;1766041,00;0,50
602120;1768343,00;0,30
602160;1768603,00;0,17
602200;1769550,00;0,17
602240;1771973,00;0,30
602280;1772729,00;0,43
602320;1773658,00;0,53
602360;1776182,00;0,53
602400;1776442,00;0,43
602440;1779686,00;0,37
602480;1781029,00;0,30
602520;1782827,00;0,30
602560;1784832,00;0,23
602600;1786250,00;0,13
602640;1788992,00;0,03
602680;1790207,00;0,07
602720;1791301,00;0,07
602760;1793685,00;0,23
602800;1793054,00;0,43
602840;1792118,00;0,63
602880;1793076,00;0,63
602920;1793880,00;0,47
602960;1795526,00;0,30
603000;1795728,00;0,17
603040;1797428,00;0,13
603080;1798144,00;0,07
603120;1798890,00;0,17
603160;1800921,00;0,37
603200;1802216,00;0,60
603240;1804293,00;0,53
603280;1806102,00;0,40
603320;1806563,00;0,27
603360;1809005,00;0,20
603400;1809988,00;0,30
603440;1813026,00;0,30
603480;1814002,00;0,40
603520;1815758,00;0,30
603560;1815919,00;0,30
603600;1816571,00;0,33
603640;1816457,00;0,43
603680;1816382,00;0,53
603720;1818120,00;0,53
603760;1819119,00;0,37
603800;1820436,00;0,20
603840;1822198,00;0,07
603880;1823665,00;0,03
603920;1824724,00;0,13
603960;1826206,00;0,27
604000;1827959,00;0,27
604040;1830149,00;0,13
604080;1830719,00;0,07
604120;1832995,00;0,13
604160;1834455,00;0,20
604200;1837007,00;0,20
604240;1837280,00;0,27
604280;1839243,00;0,33
604320;1840018,00;0,43
604360;1840583,00;0,47
604400;1841075,00;0,43
604440;1843199,00;0,30
604480;1842679,00;0,17
604520;1843105,00;0,13
604560;1844855,00;0,13
604600;1845412,00;0,13
604640;1847121,00;0,27
604680;1847995,00;0,50
604720;1849298,00;0,73
604760;1850575,00;0,70
604800;1851630,00;0,57
604840;1853096,00;0,43
604880;1853676,00;0,47
604920;1855534,00;0,33
604960;1857119,00;0,20
605000;1859196,00;0,00
605040;1858781,00;0,00
605080;1860135,00;0,20
605120;1861345,00;0,33
605160;1861740,00;0,40
605200;1861100,00;0,27
605240;1861250,00;0,27
605280;1862340,00;0,33
605320;1862024,00;0,40
605360;1863633,00;0,40
605400;1864487,00;0,27
605440;1865594,00;0,13
605480;1866007,00;0,10
605520;1866935,00;0,27
605560;1868208,00;0,37
605600;1869770,00;0,27
605640;1869740,00;0,10
605680;1871163,00;0,20
605720;1873066,00;0,30
605760;1872959,00;0,47
605800;1874673,00;0,43
605840;1875662,00;0,40
605880;1876725,00;0,30
605920;1876383,00;0,17
605960;1876280,00;0,23
606000;1877013,00;0,37
606040;1877553,00;0,47
606080;1877123,00;0,47
606120;1879479,00;0,37
606160;1880654,00;0,33
606200;1880546,00;0,23
606240;1880730,00;0,17
606280;1882247,00;0,27
606320;1884498,00;0,37
606360;1883657,00;0,47
606400;1885031,00;0,30
606440;1886585,00;0,30
606480;1887355,00;0,30
606520;1888760,00;0,40
606560;1889703,00;0,37
606600;1890875,00;0,33
606640;1891841,00;0,37
606680;1892963,00;0,33
606720;1891938,00;0,30
606760;1892314,00;0,37
606800;1891787,00;0,43
606840;1892256,00;0,50
606880;1892650,00;0,47
606920;1893416,00;0,40
606960;1893249,00;0,40
607000;1893671,00;0,20
607040;1894761,00;0,13
607080;1895179,00;0,10
607120;1896761,00;0,30
607160;1895735,00;0,50
607200;1897552,00;0,63
607240;1898184,00;0,53
607280;1898918,00;0,43
607320;1899408,00;0,37
607360;1900426,00;0,43
607400;1899732,00;0,53
607440;1901330,00;0,43
607480;1901356,00;0,43
607520;1901308,00;0,23
607560;1900936,00;0,27
607600;1900949,00;0,17
607640;1900163,00;0,30
607680;1901067,00;0,33
607720;1900476,00;0,37
607760;1901450,00;0,47
607800;1900701,00;0,37
607840;1901885,00;0,30
607880;1901853,00;0,10
607920;1901816,00;0,10
607960;1903941,00;0,30
608000;1902840,00;0,50
608040;1904931,00;0,50
608080;1904749,00;0,30
608120;1906036,00;0,10
608160;1906778,00;0,10
608200;1907320,00;0,20
608240;1906849,00;0,30
608280;1906887,00;0,47
608320;1906316,00;0,57
608360;1904741,00;0,60
608400;1904876,00;0,53
608440;1905249,00;0,43
608480;1905126,00;0,30
608520;1904524,00;0,17
608560;1904208,00;0,17
608600;1906200,00;0,27
608640;1906028,00;0,40
608680;1905988,00;0,47
608720;1906161,00;0,47
608760;1907177,00;0,40
608800;1907909,00;0,20
608840;1908222,00;0,27
608880;1908456,00;0,40
608920;1910487,00;0,60
608960;1910373,00;0,60
609000;1910698,00;0,60
609040;1909317,00;0,43
609080;1907719,00;0,23
609120;1907503,00;0,13
609160;1906529,00;0,23
609200;1905673,00;0,47
609240;1907608,00;0,53
609280;1905934,00;0,47
609320;1904795,00;0,23
609360;1906549,00;0,27
609400;1904860,00;0,40
609440;1904860,00;0,43
609480;1905950,00;0,23
609520;1906246,00;0,07
609560;1906165,00;0,10
609600;1906283,00;0,30
609640;1906726,00;0,47
609680;1906889,00;0,57
609720;1908798,00;0,43
609760;1906985,00;0,30
609800;1907261,00;0,30
609840;1906347,00;0,47
609880;1903548,00;0,63
609920;1903934,00;0,60
609960;1902637,00;0,50
610000;1901238,00;0,40
610040;1902480,00;0,47
610080;1901631,00;0,47
610120;1901937,00;0,47
610160;1901378,00;0,43
610200;1900788,00;0,47
610240;1900811,00;0,50
610280;1900720,00;0,40
610320;1900972,00;0,23
610360;1901908,00;0,30
610400;1902057,00;0,33
610440;1902997,00;0,47
610480;1901566,00;0,37
610520;1903459,00;0,40
610560;1901776,00;0,47
610600;1901437,00;0,40
610640;1900222,00;0,40
610680;1898879,00;0,33
610720;1897087,00;0,30
610760;1896532,00;0,20
610800;1895508,00;0,20
610840;1895421,00;0,30
610880;1894546,00;0,43
610920;1893692,00;0,43
610960;1893447,00;0,40
611000;1894656,00;0,27
611040;1895034,00;0,17
611080;1893988,00;0,20
611120;1894883,00;0,30
611160;1895348,00;0,40
611200;1894204,00;0,30
611240;1897246,00;0,30
611280;1895423,00;0,30
611320;1895996,00;0,40
611360;1895417,00;0,50
611400;1894081,00;0,60
611440;1892153,00;0,50
611480;1890225,00;0,27
611520;1888830,00;0,03
611560;1888920,00;0,07
611600;1889063,00;0,17
611640;1887583,00;0,27
611680;1888335,00;0,33
611720;1887296,00;0,27
611760;1887963,00;0,20
611800;1886317,00;0,17
611840;1886097,00;0,37
611880;1886909,00;0,53
611920;1887141,00;0,53
611960;1887894,00;0,33
612000;1887859,00;0,17
612040;1889471,00;0,20
612080;1888829,00;0,30
612120;1888184,00;0,37
612160;1887142,00;0,27
612200;1886597,00;0,17
612240;1883175,00;0,10
612280;1882638,00;0,23
612320;1881676,00;0,40
612360;1882031,00;0,53
612400;1882790,00;0,53
612440;1880920,00;0,47
612480;1881125,00;0,53
612520;1881499,00;0,50
612560;1881016,00;0,40
612600;1882591,00;0,27
612640;1881634,00;0,30
612680;1882292,00;0,43
612720;1881479,00;0,47
612760;1883998,00;0,47
612800;1882662,00;0,47
612840;1884068,00;0,40
612880;1883763,00;0,37
612920;1883131,00;0,33
612960;1881451,00;0,27
613000;1881990,00;0,27
613040;1879433,00;0,27
613080;1878823,00;0,47
613120;1879291,00;0,43
613160;1878502,00;0,43
613200;1877954,00;0,33
613240;1878851,00;0,40
613280;1877570,00;0,47
613320;1879416,00;0,57
613360;1879010,00;0,47
613400;1878124,00;0,33
613440;1879603,00;0,33
613480;1880824,00;0,40
613520;1879268,00;0,47
613560;1881022,00;0,27
613600;1881399,00;0,33
613640;1880686,00;0,40
613680;1882653,00;0,60
613720;1880767,00;0,60
613760;1879218,00;0,53
613800;1878893,00;0,43
613840;1878785,00;0,33
613880;1876580,00;0,37
613920;1876745,00;0,40
613960;1876369,00;0,23
614000;1876675,00;0,07
614040;1876605,00;0,07
614080;1877157,00;0,30
614120;1876134,00;0,50
614160;1877738,00;0,50
614200;1876922,00;0,33
614240;1878127,00;0,07
614280;1878011,00;0,00
614320;1879512,00;0,10
614360;1878950,00;0,30
614400;1880453,00;0,40
614440;1880582,00;0,47
614480;1880699,00;0,57
614520;1879755,00;0,63
614560;1878166,00;0,53
614600;1877612,00;0,37
614640;1876745,00;0,20
614680;1876087,00;0,27
614720;1877806,00;0,40
614760;1877262,00;0,47
614800;1877163,00;0,47
614840;1877194,00;0,33
614880;1878748,00;0,20
614920;1877595,00;0,07
614960;1877926,00;0,13
615000;1878154,00;0,33
615040;1879228,00;0,53
615080;1879831,00;0,60
615120;1881101,00;0,43
615160;1881749,00;0,27
615200;1882406,00;0,10
615240;1882004,00;0,27
615280;1882302,00;0,27
615320;1880366,00;0,27
615360;1880076,00;0,13
615400;1880013,00;0,17
615440;1880252,00;0,17
615480;1880474,00;0,23
615520;1879973,00;0,30
615560;1881090,00;0,33
615600;1879929,00;0,27
615640;1880347,00;0,20
615680;1880982,00;0,17
615720;1881877,00;0,30
615760;1882495,00;0,40
615800;1882305,00;0,53
615840;1883248,00;0,43
615880;1883795,00;0,37
615920;1884962,00;0,33
615960;1886230,00;0,37
616000;1886059,00;0,43
616040;1885961,00;0,53
616080;1886506,00;0,63
616120;1885153,00;0,50
616160;1885871,00;0,30
616200;1884857,00;0,00
616240;1884603,00;0,17
616280;1885647,00;0,33
616320;1884508,00;0,60
616360;1885955,00;0,40
616400;1885958,00;0,27
616440;1886156,00;0,13
616480;1886870,00;0,30
616520;1887243,00;0,30
616560;1888386,00;0,30
616600;1887944,00;0,30
616640;1889283,00;0,43
616680;1889107,00;0,57
616720;1889654,00;0,63
616760;1890730,00;0,67
616800;1892380,00;0,57
616840;1892840,00;0,43
616880;1893139,00;0,20
616920;1894164,00;0,10
616960;1895983,00;0,17
617000;1895312,00;0,33
617040;1896859,00;0,47
617080;1897688,00;0,30
617120;1899523,00;0,13
617160;1900165,00;0,17
617200;1901149,00;0,30
617240;1901258,00;0,50
617280;1902033,00;0,40
617320;1903977,00;0,33
617360;1904005,00;0,30
617400;1905859,00;0,37
617440;1907038,00;0,53
617480;1907216,00;0,50
617520;1908425,00;0,47
617560;1909048,00;0,30
617600;1909543,00;0,23
617640;1909816,00;0,27
617680;1911292,00;0,23
617720;1909718,00;0,27
617760;1910886,00;0,27
617800;1911809,00;0,30
617840;1911956,00;0,27
617880;1913737,00;0,27
617920;1913358,00;0,33
617960;1913493,00;0,40
618000;1914383,00;0,33
618040;1915828,00;0,27
618080;1914783,00;0,20
618120;1916761,00;0,13
618160;1916790,00;0,07
618200;1918105,00;0,23
618240;1918799,00;0,43
618280;1920001,00;0,47
618320;1920562,00;0,27
618360;1920614,00;0,13
618400;1921855,00;0,13
618440;1921953,00;0,13
618480;1923320,00;0,17
618520;1922194,00;0,27
618560;1922953,00;0,23
618600;1923909,00;0,20
618640;1924379,00;0,17
618680;1924170,00;0,23
618720;1925944,00;0,20
618760;1925042,00;0,13
618800;1925765,00;0,27
618840;1925837,00;0,37
618880;1927003,00;0,43
618920;1927498,00;0,33
618960;1928906,00;0,23
619000;1929235,00;0,13
619040;1929942,00;0,20
619080;1931440,00;0,33
619120;1930720,00;0,47
619160;1932891,00;0,53
619200;1932873,00;0,60
619240;1934315,00;0,47
619280;1935120,00;0,37
619320;1935232,00;0,27
619360;1937414,00;0,40
619400;1937637,00;0,27
619440;1939135,00;0,13
619480;1938609,00;0,00
619520;1939710,00;0,10
619560;1940457,00;0,33
619600;1941735,00;0,50
619640;1943464,00;0,53
619680;1944129,00;0,43
619720;1943635,00;0,40
619760;1945500,00;0,53
619800;1946426,00;0,53
619840;1946508,00;0,53
619880;1948308,00;0,40
619920;1948380,00;0,40
619960;1947542,00;0,40
620000;1949231,00;0,43
620040;1948665,00;0,37
620080;1949304,00;0,27
620120;1950216,00;0,17
620160;1950707,00;0,13
620200;1951139,00;0,20
620240;1952166,00;0,37
620280;1952480,00;0,57
620320;1952907,00;0,53
620360;1955081,00;0,37
620400;1955190,00;0,23
620440;1955425,00;0,27
620480;1956666,00;0,33
620520;1956652,00;0,37
620560;1957417,00;0,43
620600;1957458,00;0,43
620640;1958493,00;0,50
620680;1958479,00;0,47
620720;1959727,00;0,40
620760;1960035,00;0,27
620800;1959923,00;0,27
620840;1960354,00;0,33
620880;1959906,00;0,40
620920;1959875,00;0,43
620960;1960138,00;0,43
621000;1960567,00;0,47
621040;1962860,00;0,47
621080;1962406,00;0,50
621120;1963659,00;0,47
621160;1962848,00;0,47
621200;1964047,00;0,47
621240;1964353,00;0,40
621280;1965083,00;0,30
621320;1964719,00;0,30
621360;1965177,00;0,40
621400;1965667,00;0,43
621440;1965165,00;0,37
621480;1965489,00;0,27
621520;1965804,00;0,30
621560;1965957,00;0,40
621600;1965717,00;0,57
621640;1965370,00;0,60
621680;1964902,00;0,43
621720;1965422,00;0,23
621760;1964773,00;0,23
621800;1966105,00;0,40
621840;1965700,00;0,50
621880;1966833,00;0,40
621920;1965626,00;0,37
621960;1967187,00;0,40
622000;1967380,00;0,57
622040;1966637,00;0,50
622080;1968143,00;0,47
622120;1968521,00;0,37
622160;1966111,00;0,33
622200;1967330,00;0,27
622240;1966771,00;0,30
622280;1966293,00;0,40
622320;1966510,00;0,40
622360;1967419,00;0,37
622400;1965573,00;0,33
622440;1966852,00;0,37
622480;1967668,00;0,37
622520;1966296,00;0,37
622560;1967144,00;0,50
622600;1967152,00;0,50
622640;1967188,00;0,57
622680;1966153,00;0,43
622720;1967071,00;0,40
622760;1968311,00;0,30
622800;1967038,00;0,30
622840;1968135,00;0,37
622880;1969563,00;0,43
622920;1967635,00;0,37
622960;1968100,00;0,33
623000;1965784,00;0,30
623040;1966792,00;0,40
623080;1965323,00;0,40
623120;1964417,00;0,40
623160;1963918,00;0,37
623200;1964243,00;0,33
623240;1964970,00;0,30
623280;1964508,00;0,37
623320;1963959,00;0,43
623360;1963662,00;0,53
623400;1964319,00;0,57
623440;1962921,00;0,43
623480;1964538,00;0,27
623520;1963841,00;0,20
623560;1964249,00;0,40
623600;1964389,00;0,60
623640;1963410,00;0,60
623680;1964745,00;0,43
623720;1963127,00;0,43
623760;1961995,00;0,53
623800;1960684,00;0,53
623840;1960275,00;0,37
623880;1959781,00;0,33
623920;1958288,00;0,40
623960;1958163,00;0,43
624000;1958653,00;0,27
624040;1956884,00;0,17
624080;1956342,00;0,17
624120;1956555,00;0,23
624160;1956410,00;0,27
624200;1957117,00;0,23
624240;1956176,00;0,37
624280;1955982,00;0,37
624320;1955933,00;0,33
624360;1957701,00;0,17
624400;1956318,00;0,17
624440;1954640,00;0,23
624480;1953691,00;0,33
624520;1952229,00;0,43
624560;1951338,00;0,47
624600;1950277,00;0,37
624640;1949486,00;0,27
624680;1949724,00;0,37
624720;1949607,00;0,43
624760;1946902,00;0,50
624800;1947739,00;0,47
624840;1948075,00;0,43
624880;1947736,00;0,43
624920;1948093,00;0,33
624960;1948181,00;0,33
625000;1947553,00;0,27
625040;1948404,00;0,33
625080;1947377,00;0,40
625120;1948618,00;0,50
625160;1947413,00;0,50
625200;1946608,00;0,37
625240;1946243,00;0,37
625280;1943685,00;0,33
625320;1942851,00;0,37
625360;1941251,00;0,20
625400;1940504,00;0,23
625440;1940610,00;0,33
625480;1939477,00;0,50
625520;1939424,00;0,33
625560;1938953,00;0,10
625600;1939475,00;0,00
625640;1938197,00;0,13
625680;1937995,00;0,33
625720;1937784,00;0,30
625760;1937636,00;0,17
625800;1937510,00;0,03
625840;1938289,00;0,20
625880;1938701,00;0,40
625920;1936800,00;0,60
625960;1937663,00;0,60
626000;1936617,00;0,50
626040;1934696,00;0,43
626080;1933737,00;0,23
626120;1933162,00;0,30
626160;1931899,00;0,33
626200;1931502,00;0,33
626240;1931676,00;0,17
626280;1931369,00;0,03
626320;1930123,00;0,13
626360;1929893,00;0,27
626400;1928741,00;0,37
626440;1929528,00;0,50
626480;1929757,00;0,47
626520;1928871,00;0,43
626560;1929847,00;0,37
626600;1929890,00;0,43
626640;1929132,00;0,37
626680;1929549,00;0,40
626720;1929311,00;0,37
626760;1928216,00;0,53
626800;1928510,00;0,37
626840;1926715,00;0,43
626880;1924819,00;0,40
626920;1924649,00;0,60
626960;1924472,00;0,57
627000;1924634,00;0,57
627040;1923701,00;0,37
627080;1922876,00;0,23
627120;1922265,00;0,27
627160;1923162,00;0,43
627200;1921899,00;0,47
627240;1923599,00;0,27
627280;1922385,00;0,27
627320;1921892,00;0,40
627360;1924127,00;0,57
627400;1923549,00;0,40
627440;1923466,00;0,33
627480;1924675,00;0,30
627520;1924265,00;0,40
627560;1922878,00;0,40
627600;1921334,00;0,37
627640;1920430,00;0,27
627680;1919346,00;0,17
627720;1918550,00;0,10
627760;1918195,00;0,10
627800;1918049,00;0,13
627840;1918015,00;0,13
627880;1917514,00;0,23
627920;1917539,00;0,30
627960;1917780,00;0,27
628000;1916536,00;0,30
628040;1917077,00;0,33
628080;1917181,00;0,47
628120;1918896,00;0,40
628160;1917491,00;0,30
628200;1918294,00;0,27
628240;1919647,00;0,43
628280;1918271,00;0,50
628320;1918760,00;0,57
628360;1918200,00;0,30
628400;1917171,00;0,20
628440;1915919,00;0,10
628480;1915414,00;0,30
628520;1914103,00;0,47
628560;1913574,00;0,53
628600;1913513,00;0,50
628640;1913198,00;0,40
628680;1913969,00;0,33
628720;1912950,00;0,27
628760;1913933,00;0,33
628800;1913228,00;0,40
628840;1913032,00;0,43
628880;1914649,00;0,50
628920;1914814,00;0,43
628960;1914155,00;0,37
629000;1914513,00;0,13
629040;1916023,00;0,33
629080;1916000,00;0,53
629120;1915542,00;0,63
629160;1913914,00;0,37
629200;1913627,00;0,10
629240;1913408,00;0,10
629280;1913118,00;0,23
629320;1912747,00;0,37
629360;1913352,00;0,40
629400;1913370,00;0,40
629440;1913361,00;0,40
629480;1912918,00;0,30
629520;1911946,00;0,17
629560;1913474,00;0,03
629600;1912724,00;0,13
629640;1913535,00;0,30
629680;1913874,00;0,47
629720;1914651,00;0,40
629760;1915822,00;0,23
629800;1914739,00;0,07
629840;1916696,00;0,23
629880;1916345,00;0,47
629920;1916060,00;0,47
629960;1916284,00;0,23
630000;1914551,00;0,03
630040;1914849,00;0,07
630080;1915033,00;0,27
630120;1913731,00;0,47
630160;1914081,00;0,63
630200;1914082,00;0,47
630240;1913688,00;0,27
630280;1914067,00;0,10
630320;1914026,00;0,20
630360;1914588,00;0,30
630400;1915070,00;0,47
630440;1914319,00;0,40
630480;1915415,00;0,33
630520;1914969,00;0,20
630560;1916641,00;0,20
630600;1916674,00;0,23
630640;1916746,00;0,37
630680;1916676,00;0,43
630720;1916499,00;0,47
630760;1916772,00;0,27
630800;1917132,00;0,17
630840;1915512,00;0,07
630880;1916894,00;0,20
630920;1916110,00;0,30
630960;1916627,00;0,43
631000;1916883,00;0,43
631040;1916615,00;0,47
631080;1915722,00;0,47
631120;1917689,00;0,33
631160;1916731,00;0,20
631200;1917149,00;0,03
631240;1917103,00;0,23
631280;1918443,00;0,37
631320;1917675,00;0,57
631360;1919342,00;0,47
631400;1918593,00;0,37
631440;1918134,00;0,23
631480;1918097,00;0,37
631520;1917425,00;0,43
631560;1916426,00;0,60
631600;1916552,00;0,43
631640;1916405,00;0,47
631680;1915742,00;0,40
631720;1916993,00;0,57
631760;1915789,00;0,43
631800;1914986,00;0,30
631840;1915856,00;0,23
631880;1915134,00;0,33
631920;1915166,00;0,30
631960;1914458,00;0,17
632000;1915219,00;0,13
632040;1915623,00;0,27
632080;1916764,00;0,37
632120;1916440,00;0,30
632160;1916359,00;0,23
632200;1915287,00;0,17
632240;1915735,00;0,20
632280;1915103,00;0,30
632320;1915594,00;0,47
632360;1915035,00;0,63
632400;1914594,00;0,57
632440;1915654,00;0,43
632480;1914655,00;0,30
632520;1914219,00;0,23
632560;1915040,00;0,27
632600;1914662,00;0,37
632640;1915848,00;0,47
632680;1915822,00;0,37
632720;1916074,00;0,20
632760;1916337,00;0,27
632800;1916710,00;0,47
632840;1916229,00;0,67
632880;1918006,00;0,63
632920;1917630,00;0,53
632960;1917548,00;0,43
633000;1918712,00;0,47
633040;1918513,00;0,47
633080;1917237,00;0,47
633120;1915984,00;0,37
633160;1916721,00;0,23
633200;1917247,00;0,10
633240;1916736,00;0,20
633280;1916635,00;0,23
633320;1916435,00;0,23
633360;1918045,00;0,17
633400;1917202,00;0,27
633440;1917600,00;0,50
633480;1919496,00;0,43
633520;1919410,00;0,40
633560;1919434,00;0,37
633600;1919382,00;0,50
633640;1920384,00;0,57
633680;1920485,00;0,37
633720;1921082,00;0,17
633760;1920159,00;0,13
633800;1921117,00;0,23
633840;1920377,00;0,33
633880;1921118,00;0,30
633920;1920423,00;0,47
633960;1920368,00;0,60
634000;1920572,00;0,73
634040;1920836,00;0,53
634080;1920827,00;0,33
634120;1921362,00;0,13
634160;1921361,00;0,17
634200;1922912,00;0,33
634240;1922302,00;0,50
634280;1923366,00;0,63
634320;1923809,00;0,50
634360;1923576,00;0,37
634400;1924107,00;0,33
634440;1924874,00;0,50
634480;1925164,00;0,67
634520;1926496,00;0,57
634560;1925272,00;0,43
634600;1924704,00;0,30
634640;1926162,00;0,30
634680;1925348,00;0,40
634720;1925149,00;0,30
634760;1925541,00;0,40
634800;1926248,00;0,27
634840;1927192,00;0,30
634880;1926619,00;0,23
634920;1926431,00;0,30
634960;1927926,00;0,40
635000;1927666,00;0,40
635040;1928361,00;0,27
635080;1929155,00;0,30
635120;1929190,00;0,20
635160;1930357,00;0,23
635200;1929532,00;0,27
635240;1930261,00;0,47
635280;1931199,00;0,67
635320;1930935,00;0,70
635360;1932209,00;0,57
635400;1931400,00;0,43
635440;1931540,00;0,33
635480;1932148,00;0,40
635520;1931717,00;0,47
635560;1932552,00;0,43
635600;1931692,00;0,43
635640;1933318,00;0,43
635680;1931995,00;0,43
635720;1933301,00;0,37
635760;1932551,00;0,40
635800;1933887,00;0,50
635840;1935967,00;0,43
635880;1935072,00;0,27
635920;1937105,00;0,27
635960;1936745,00;0,43
636000;1937131,00;0,60
636040;1938301,00;0,50
636080;1938329,00;0,33
636120;1938456,00;0,17
636160;1939052,00;0,20
636200;1938749,00;0,33
636240;1939094,00;0,47
636280;1939811,00;0,40
636320;1939673,00;0,30
636360;1939972,00;0,13
